GH-0026	Chao Wang	2010-10-28	Yahoo
GH-0027	Alejandro Abdelnur	2010-10-08	Cloudera
GH-0041	Roman V Shaposhnik	2010-10-01	Yahoo
GH-0045	Alejandro Abdelnur	2010-11-27	Cloudera
GH-0046	angelokh	2010-10-05	Yahoo
GH-0048	angelokh	2010-12-02	Yahoo
GH-0053	Roman V Shaposhnik	2010-10-09	Yahoo
GH-0054	Thomas Aylott	2010-11-16	Cloudera
GH-0055	Chao Wang	2010-10-05	Yahoo
GH-0060	Chao Wang	2010-10-08	Yahoo
GH-0064	angelokh	2010-12-02	Yahoo
GH-0091	Alejandro Abdelnur	2010-10-08	Cloudera
GH-0106	Alejandro Abdelnur	2010-10-11	Cloudera
GH-0108	Alejandro Abdelnur	2010-11-02	Cloudera
GH-0119	Alejandro Abdelnur	2010-10-31	Cloudera
GH-0131	Alejandro Abdelnur	2010-10-28	Cloudera
GH-0132	Alejandro Abdelnur	2010-10-22	Cloudera
GH-0137	Roman V Shaposhnik	2010-10-27	Yahoo
GH-0145	Alejandro Abdelnur	2010-11-02	Cloudera
GH-0149	Alejandro Abdelnur	2010-10-31	Cloudera
GH-0150	Alejandro Abdelnur	2010-10-31	Cloudera
GH-0151	Alejandro Abdelnur	2010-10-31	Cloudera
GH-0152	Alejandro Abdelnur	2010-11-04	Cloudera
GH-0160	Alejandro Abdelnur	2010-11-02	Cloudera
GH-0161	Alejandro Abdelnur	2010-11-02	Cloudera
GH-0164	Alejandro Abdelnur	2010-11-04	Cloudera
GH-0165	Alejandro Abdelnur	2010-11-04	Cloudera
GH-0168	Alejandro Abdelnur	2010-11-04	Cloudera
GH-0173	Alejandro Abdelnur	2010-11-04	Cloudera
GH-0181	Alejandro Abdelnur	2010-11-05	Cloudera
GH-0182	Alejandro Abdelnur	2010-11-26	Cloudera
GH-0183	Alejandro Abdelnur	2010-11-06	Cloudera
GH-0184	Alejandro Abdelnur	2010-11-05	Cloudera
GH-0186	Alejandro Abdelnur	2010-11-05	Cloudera
GH-0188	Alejandro Abdelnur	2010-11-05	Cloudera
GH-0189	Alejandro Abdelnur	2010-11-09	Cloudera
GH-0192	Alejandro Abdelnur	2010-11-05	Cloudera
GH-0206	Alejandro Abdelnur	2010-11-10	Cloudera
GH-0208	Alejandro Abdelnur	2010-11-16	Cloudera
GH-0212	Alejandro Abdelnur	2010-11-16	Cloudera
GH-0214	Alejandro Abdelnur	2010-11-26	Cloudera
GH-0215	Alejandro Abdelnur	2010-11-15	Cloudera
GH-0222	Alejandro Abdelnur	2010-11-23	Cloudera
GH-0225	Alejandro Abdelnur	2010-11-26	Cloudera
GH-0227	Alejandro Abdelnur	2010-11-24	Cloudera
GH-0236	Alejandro Abdelnur	2010-11-26	Cloudera
GH-0237	Alejandro Abdelnur	2010-11-26	Cloudera
GH-0238	Alejandro Abdelnur	2010-11-30	Cloudera
GH-0245	Alejandro Abdelnur	2010-12-02	Cloudera
GH-0246	Alejandro Abdelnur	2010-11-27	Cloudera
GH-0251	Alejandro Abdelnur	2010-12-08	Cloudera
GH-0254	Alejandro Abdelnur	2010-12-08	Cloudera
GH-0262	Alejandro Abdelnur	2010-12-06	Cloudera
GH-0265	Alejandro Abdelnur	2010-12-08	Cloudera
GH-0277	Alejandro Abdelnur	2010-12-10	Cloudera
GH-0279	Alejandro Abdelnur	2010-12-10	Cloudera